Date,Location,Number_of_Visitors
2019-09-15 15:37:52.545090180,Ghost Tours & Historical Walks,5839
2019-09-18 13:53:59.278557116,Kimberley Museum,5074
2019-09-18 13:53:59.278557116,McGregor Museum,5292
2019-09-18 13:53:59.278557116,William Humphreys Art Gallery,5262
2019-09-18 13:53:59.278557116,Magersfontein Battlefield,4144
2019-09-18 13:53:59.278557116,Ghost Tours & Historical Walks,3300
2019-09-21 12:10:06.012024048,Kimberley Museum,4093
2019-09-21 12:10:06.012024048,McGregor Museum,6454
2019-09-21 12:10:06.012024048,William Humphreys Art Gallery,6030
2019-09-21 12:10:06.012024048,Magersfontein Battlefield,2424
2019-09-21 12:10:06.012024048,Ghost Tours & Historical Walks,4187
2019-09-24 10:26:12.745490984,Kimberley Museum,3109
2019-09-24 10:26:12.745490984,McGregor Museum,6265
2019-09-24 10:26:12.745490984,William Humphreys Art Gallery,4726
2019-09-24 10:26:12.745490984,Magersfontein Battlefield,4809
2019-09-24 10:26:12.745490984,Ghost Tours & Historical Walks,5164
2019-09-27 08:42:19.478957916,Kimberley Museum,4077
2019-09-27 08:42:19.478957916,McGregor Museum,3594
2019-09-27 08:42:19.478957916,William Humphreys Art Gallery,5483
2019-09-27 08:42:19.478957916,Magersfontein Battlefield,4331
2019-09-27 08:42:19.478957916,Ghost Tours & Historical Walks,5283
2019-09-30 06:58:26.212424852,Kimberley Museum,2357
2019-09-30 06:58:26.212424852,McGregor Museum,5205
2019-09-30 06:58:26.212424852,William Humphreys Art Gallery,4014
2019-09-30 06:58:26.212424852,Magersfontein Battlefield,4953
2019-09-30 06:58:26.212424852,Ghost Tours & Historical Walks,7632
2019-10-03 05:14:32.945891784,Kimberley Museum,1117
2019-10-03 05:14:32.945891784,McGregor Museum,6871
2019-10-03 05:14:32.945891784,William Humphreys Art Gallery,5759
2019-10-03 05:14:32.945891784,Magersfontein Battlefield,2166
2019-10-03 05:14:32.945891784,Ghost Tours & Historical Walks,6810
2019-10-06 03:30:39.679358720,Kimberley Museum,4398
2019-10-06 03:30:39.679358720,McGregor Museum,4709
2019-10-06 03:30:39.679358720,William Humphreys Art Gallery,5077
2019-10-06 03:30:39.679358720,Magersfontein Battlefield,4856
2019-10-06 03:30:39.679358720,Ghost Tours & Historical Walks,4490
2019-10-09 01:46:46.412825652,Kimberley Museum,5962
2019-10-09 01:46:46.412825652,McGregor Museum,5816
2019-10-09 01:46:46.412825652,William Humphreys Art Gallery,5358
2019-10-09 01:46:46.412825652,Magersfontein Battlefield,4430
2019-10-09 01:46:46.412825652,Ghost Tours & Historical Walks,5213
2019-10-12 00:02:53.146292584,Kimberley Museum,3156
2019-10-12 00:02:53.146292584,McGregor Museum,5775
2019-10-12 00:02:53.146292584,William Humphreys Art Gallery,5977
2019-10-12 00:02:53.146292584,Magersfontein Battlefield,7401
2019-10-12 00:02:53.146292584,Ghost Tours & Historical Walks,5808
2019-10-14 22:18:59.879759520,Kimberley Museum,4702
2019-10-14 22:18:59.879759520,McGregor Museum,5651
2019-10-14 22:18:59.879759520,William Humphreys Art Gallery,6588
2019-10-14 22:18:59.879759520,Magersfontein Battlefield,5182
2019-10-14 22:18:59.879759520,Ghost Tours & Historical Walks,5334
2019-10-17 20:35:06.613226452,Kimberley Museum,1989
2019-10-17 20:35:06.613226452,McGregor Museum,6288
2019-10-17 20:35:06.613226452,William Humphreys Art Gallery,4237
2019-10-17 20:35:06.613226452,Magersfontein Battlefield,4112
2019-10-17 20:35:06.613226452,Ghost Tours & Historical Walks,7525
2019-10-20 18:51:13.346693388,Kimberley Museum,4478
2019-10-20 18:51:13.346693388,McGregor Museum,5008
2019-10-20 18:51:13.346693388,William Humphreys Art Gallery,4129
2019-10-20 18:51:13.346693388,Magersfontein Battlefield,3868
2019-10-20 18:51:13.346693388,Ghost Tours & Historical Walks,4110
2019-10-23 17:07:20.080160320,Kimberley Museum,3976
2019-10-23 17:07:20.080160320,McGregor Museum,4843
2019-10-23 17:07:20.080160320,William Humphreys Art Gallery,4499
2019-10-23 17:07:20.080160320,Magersfontein Battlefield,5420
2019-10-23 17:07:20.080160320,Ghost Tours & Historical Walks,4077
2019-10-26 15:23:26.813627256,Kimberley Museum,7993
2019-10-26 15:23:26.813627256,McGregor Museum,4795
2019-10-26 15:23:26.813627256,William Humphreys Art Gallery,3628
2019-10-26 15:23:26.813627256,Magersfontein Battlefield,7313
2019-10-26 15:23:26.813627256,Ghost Tours & Historical Walks,4327
2019-10-29 13:39:33.547094188,Kimberley Museum,3875
2019-10-29 13:39:33.547094188,McGregor Museum,6189
2019-10-29 13:39:33.547094188,William Humphreys Art Gallery,4022
2019-10-29 13:39:33.547094188,Magersfontein Battlefield,3272
2019-10-29 13:39:33.547094188,Ghost Tours & Historical Walks,5787
2019-11-01 11:55:40.280561124,Kimberley Museum,2729
2019-11-01 11:55:40.280561124,McGregor Museum,3565
2019-11-01 11:55:40.280561124,William Humphreys Art Gallery,4146
2019-11-01 11:55:40.280561124,Magersfontein Battlefield,2246
2019-11-01 11:55:40.280561124,Ghost Tours & Historical Walks,6509
2019-11-04 10:11:47.014028056,Kimberley Museum,2019
2019-11-04 10:11:47.014028056,McGregor Museum,8329
2019-11-04 10:11:47.014028056,William Humphreys Art Gallery,4682
2019-11-04 10:11:47.014028056,Magersfontein Battlefield,5034
2019-11-04 10:11:47.014028056,Ghost Tours & Historical Walks,4136
2019-11-07 08:27:53.747494992,Kimberley Museum,4269
2019-11-07 08:27:53.747494992,McGregor Museum,5435
2019-11-07 08:27:53.747494992,William Humphreys Art Gallery,7496
2019-11-07 08:27:53.747494992,Magersfontein Battlefield,4536
2019-11-07 08:27:53.747494992,Ghost Tours & Historical Walks,4742
2019-11-10 06:44:00.480961924,Kimberley Museum,5024
2019-11-10 06:44:00.480961924,McGregor Museum,4995
2019-11-10 06:44:00.480961924,William Humphreys Art Gallery,4801
2019-11-10 06:44:00.480961924,Magersfontein Battlefield,4794
2019-11-10 06:44:00.480961924,Ghost Tours & Historical Walks,6343
2019-11-13 05:00:07.214428860,Kimberley Museum,3083
2019-11-13 05:00:07.214428860,McGregor Museum,4655
2019-11-13 05:00:07.214428860,William Humphreys Art Gallery,4322
2019-11-13 05:00:07.214428860,Magersfontein Battlefield,2822
2019-11-13 05:00:07.214428860,Ghost Tours & Historical Walks,7395
2019-11-16 03:16:13.947895792,Kimberley Museum,2749
2019-11-16 03:16:13.947895792,McGregor Museum,7695
2019-11-16 03:16:13.947895792,William Humphreys Art Gallery,2422
2019-11-16 03:16:13.947895792,Magersfontein Battlefield,4047
2019-11-16 03:16:13.947895792,Ghost Tours & Historical Walks,3813
2019-11-19 01:32:20.681362728,Kimberley Museum,5786
2019-11-19 01:32:20.681362728,McGregor Museum,6171
2019-11-19 01:32:20.681362728,William Humphreys Art Gallery,5317
2019-11-19 01:32:20.681362728,Magersfontein Battlefield,4271
2019-11-19 01:32:20.681362728,Ghost Tours & Historical Walks,4942
2019-11-21 23:48:27.414829660,Kimberley Museum,6181
2019-11-21 23:48:27.414829660,McGregor Museum,4028
2019-11-21 23:48:27.414829660,William Humphreys Art Gallery,3159
2019-11-21 23:48:27.414829660,Magersfontein Battlefield,5686
2019-11-21 23:48:27.414829660,Ghost Tours & Historical Walks,4898
2019-11-24 22:04:34.148296592,Kimberley Museum,3414
2019-11-24 22:04:34.148296592,McGregor Museum,5439
2019-11-24 22:04:34.148296592,William Humphreys Art Gallery,3935
2019-11-24 22:04:34.148296592,Magersfontein Battlefield,4966
2019-11-24 22:04:34.148296592,Ghost Tours & Historical Walks,3257
2019-11-27 20:20:40.881763528,Kimberley Museum,3764
2019-11-27 20:20:40.881763528,McGregor Museum,3473
2019-11-27 20:20:40.881763528,William Humphreys Art Gallery,3953
2019-11-27 20:20:40.881763528,Magersfontein Battlefield,6120
2019-11-27 20:20:40.881763528,Ghost Tours & Historical Walks,4426
2019-11-30 18:36:47.615230460,Kimberley Museum,4434
2019-11-30 18:36:47.615230460,McGregor Museum,5677
2019-11-30 18:36:47.615230460,William Humphreys Art Gallery,3122
2019-11-30 18:36:47.615230460,Magersfontein Battlefield,4966
2019-11-30 18:36:47.615230460,Ghost Tours & Historical Walks,5953
2019-12-03 16:52:54.348697396,Kimberley Museum,6872
2019-12-03 16:52:54.348697396,McGregor Museum,7234
2019-12-03 16:52:54.348697396,William Humphreys Art Gallery,7767
2019-12-03 16:52:54.348697396,Magersfontein Battlefield,4997
2019-12-03 16:52:54.348697396,Ghost Tours & Historical Walks,4092
2019-12-06 15:09:01.082164328,Kimberley Museum,3794
2019-12-06 15:09:01.082164328,McGregor Museum,4379
2019-12-06 15:09:01.082164328,William Humphreys Art Gallery,7025
2019-12-06 15:09:01.082164328,Magersfontein Battlefield,5992
2019-12-06 15:09:01.082164328,Ghost Tours & Historical Walks,5277
2019-12-09 13:25:07.815631264,Kimberley Museum,4125
2019-12-09 13:25:07.815631264,McGregor Museum,5286
2019-12-09 13:25:07.815631264,William Humphreys Art Gallery,6248
2019-12-09 13:25:07.815631264,Magersfontein Battlefield,2192
2019-12-09 13:25:07.815631264,Ghost Tours & Historical Walks,5727
2019-12-12 11:41:14.549098196,Kimberley Museum,5468
2019-12-12 11:41:14.549098196,McGregor Museum,4578
2019-12-12 11:41:14.549098196,William Humphreys Art Gallery,4099
2019-12-12 11:41:14.549098196,Magersfontein Battlefield,3853
2019-12-12 11:41:14.549098196,Ghost Tours & Historical Walks,5190
2019-12-15 09:57:21.282565132,Kimberley Museum,3978
2019-12-15 09:57:21.282565132,McGregor Museum,2316
2019-12-15 09:57:21.282565132,William Humphreys Art Gallery,5946
2019-12-15 09:57:21.282565132,Magersfontein Battlefield,5168
2019-12-15 09:57:21.282565132,Ghost Tours & Historical Walks,3956
2019-12-18 08:13:28.016032064,Kimberley Museum,3561
2019-12-18 08:13:28.016032064,McGregor Museum,1908
2019-12-18 08:13:28.016032064,William Humphreys Art Gallery,713
2019-12-18 08:13:28.016032064,Magersfontein Battlefield,4939
2019-12-18 08:13:28.016032064,Ghost Tours & Historical Walks,2647
2019-12-21 06:29:34.749499000,Kimberley Museum,2779
2019-12-21 06:29:34.749499000,McGregor Museum,4941
2019-12-21 06:29:34.749499000,William Humphreys Art Gallery,3907
2019-12-21 06:29:34.749499000,Magersfontein Battlefield,4307
2019-12-21 06:29:34.749499000,Ghost Tours & Historical Walks,11213
2019-12-24 04:45:41.482965932,Kimberley Museum,1889
2019-12-24 04:45:41.482965932,McGregor Museum,7034
2019-12-24 04:45:41.482965932,William Humphreys Art Gallery,2965
2019-12-24 04:45:41.482965932,Magersfontein Battlefield,7318
2019-12-24 04:45:41.482965932,Ghost Tours & Historical Walks,3900
2019-12-27 03:01:48.216432868,Kimberley Museum,4934
2019-12-27 03:01:48.216432868,McGregor Museum,4278
2019-12-27 03:01:48.216432868,William Humphreys Art Gallery,5114
2019-12-27 03:01:48.216432868,Magersfontein Battlefield,5843
2019-12-27 03:01:48.216432868,Ghost Tours & Historical Walks,3704
2019-12-30 01:17:54.949899800,Kimberley Museum,5444
2019-12-30 01:17:54.949899800,McGregor Museum,5544
2019-12-30 01:17:54.949899800,William Humphreys Art Gallery,3628
2019-12-30 01:17:54.949899800,Magersfontein Battlefield,5005
2019-12-30 01:17:54.949899800,Ghost Tours & Historical Walks,4178
2020-01-01 23:34:01.683366736,Kimberley Museum,6601
2020-01-01 23:34:01.683366736,McGregor Museum,1542
2020-01-01 23:34:01.683366736,William Humphreys Art Gallery,6037
2020-01-01 23:34:01.683366736,Magersfontein Battlefield,4564
2020-01-01 23:34:01.683366736,Ghost Tours & Historical Walks,3956
2020-01-04 21:50:08.416833668,Kimberley Museum,4295
2020-01-04 21:50:08.416833668,McGregor Museum,6635
2020-01-04 21:50:08.416833668,William Humphreys Art Gallery,3960
2020-01-04 21:50:08.416833668,Magersfontein Battlefield,4545
2020-01-04 21:50:08.416833668,Ghost Tours & Historical Walks,2226
2020-01-07 20:06:15.150300604,Kimberley Museum,6577
2020-01-07 20:06:15.150300604,McGregor Museum,4758
2020-01-07 20:06:15.150300604,William Humphreys Art Gallery,4476
2020-01-07 20:06:15.150300604,Magersfontein Battlefield,5378
2020-01-07 20:06:15.150300604,Ghost Tours & Historical Walks,5202
2020-01-10 18:22:21.883767536,Kimberley Museum,5063
2020-01-10 18:22:21.883767536,McGregor Museum,2412
2020-01-10 18:22:21.883767536,William Humphreys Art Gallery,1934
2020-01-10 18:22:21.883767536,Magersfontein Battlefield,7987
2020-01-10 18:22:21.883767536,Ghost Tours & Historical Walks,3040
2020-01-13 16:38:28.617234468,Kimberley Museum,7325
2020-01-13 16:38:28.617234468,McGregor Museum,4933
2020-01-13 16:38:28.617234468,William Humphreys Art Gallery,5148
2020-01-13 16:38:28.617234468,Magersfontein Battlefield,4023
2020-01-13 16:38:28.617234468,Ghost Tours & Historical Walks,5416
2020-01-16 14:54:35.350701404,Kimberley Museum,4814
2020-01-16 14:54:35.350701404,McGregor Museum,4975
2020-01-16 14:54:35.350701404,William Humphreys Art Gallery,4683
2020-01-16 14:54:35.350701404,Magersfontein Battlefield,5358
2020-01-16 14:54:35.350701404,Ghost Tours & Historical Walks,8428
2020-01-19 13:10:42.084168336,Kimberley Museum,3679
2020-01-19 13:10:42.084168336,McGregor Museum,4490
2020-01-19 13:10:42.084168336,William Humphreys Art Gallery,6928
2020-01-19 13:10:42.084168336,Magersfontein Battlefield,7528
2020-01-19 13:10:42.084168336,Ghost Tours & Historical Walks,2532
2020-01-22 11:26:48.817635272,Kimberley Museum,5678
2020-01-22 11:26:48.817635272,McGregor Museum,5169
2020-01-22 11:26:48.817635272,William Humphreys Art Gallery,3358
2020-01-22 11:26:48.817635272,Magersfontein Battlefield,1907
2020-01-22 11:26:48.817635272,Ghost Tours & Historical Walks,7515
2020-01-25 09:42:55.551102204,Kimberley Museum,3463
2020-01-25 09:42:55.551102204,McGregor Museum,7082
2020-01-25 09:42:55.551102204,William Humphreys Art Gallery,5543
2020-01-25 09:42:55.551102204,Magersfontein Battlefield,6177
2020-01-25 09:42:55.551102204,Ghost Tours & Historical Walks,6454
2020-01-28 07:59:02.284569140,Kimberley Museum,2172
2020-01-28 07:59:02.284569140,McGregor Museum,4717
2020-01-28 07:59:02.284569140,William Humphreys Art Gallery,6944
2020-01-28 07:59:02.284569140,Magersfontein Battlefield,5333
2020-01-28 07:59:02.284569140,Ghost Tours & Historical Walks,3796
2020-01-31 06:15:09.018036072,Kimberley Museum,3552
2020-01-31 06:15:09.018036072,McGregor Museum,1939
2020-01-31 06:15:09.018036072,William Humphreys Art Gallery,5616
2020-01-31 06:15:09.018036072,Magersfontein Battlefield,5192
2020-01-31 06:15:09.018036072,Ghost Tours & Historical Walks,4837
2020-02-03 04:31:15.751503008,Kimberley Museum,6364
2020-02-03 04:31:15.751503008,McGregor Museum,5460
2020-02-03 04:31:15.751503008,William Humphreys Art Gallery,3986
2020-02-03 04:31:15.751503008,Magersfontein Battlefield,4851
2020-02-03 04:31:15.751503008,Ghost Tours & Historical Walks,4698
2020-02-06 02:47:22.484969940,Kimberley Museum,5134
2020-02-06 02:47:22.484969940,McGregor Museum,2732
2020-02-06 02:47:22.484969940,William Humphreys Art Gallery,4344
2020-02-06 02:47:22.484969940,Magersfontein Battlefield,3688
2020-02-06 02:47:22.484969940,Ghost Tours & Historical Walks,4006
2020-02-09 01:03:29.218436876,Kimberley Museum,4209
2020-02-09 01:03:29.218436876,McGregor Museum,1779
2020-02-09 01:03:29.218436876,William Humphreys Art Gallery,5943
2020-02-09 01:03:29.218436876,Magersfontein Battlefield,4679
2020-02-09 01:03:29.218436876,Ghost Tours & Historical Walks,4821
2020-02-11 23:19:35.951903808,Kimberley Museum,3990
2020-02-11 23:19:35.951903808,McGregor Museum,7576
2020-02-11 23:19:35.951903808,William Humphreys Art Gallery,3106
2020-02-11 23:19:35.951903808,Magersfontein Battlefield,4219
2020-02-11 23:19:35.951903808,Ghost Tours & Historical Walks,3808
2020-02-14 21:35:42.685370744,Kimberley Museum,4447
2020-02-14 21:35:42.685370744,McGregor Museum,5345
2020-02-14 21:35:42.685370744,William Humphreys Art Gallery,3335
2020-02-14 21:35:42.685370744,Magersfontein Battlefield,5974
2020-02-14 21:35:42.685370744,Ghost Tours & Historical Walks,4513
2020-02-17 19:51:49.418837676,Kimberley Museum,5682
2020-02-17 19:51:49.418837676,McGregor Museum,3684
2020-02-17 19:51:49.418837676,William Humphreys Art Gallery,3716
2020-02-17 19:51:49.418837676,Magersfontein Battlefield,2542
2020-02-17 19:51:49.418837676,Ghost Tours & Historical Walks,4842
2020-02-20 18:07:56.152304612,Kimberley Museum,5607
2020-02-20 18:07:56.152304612,McGregor Museum,5395
2020-02-20 18:07:56.152304612,William Humphreys Art Gallery,5119
2020-02-20 18:07:56.152304612,Magersfontein Battlefield,6254
2020-02-20 18:07:56.152304612,Ghost Tours & Historical Walks,3522
2020-02-23 16:24:02.885771544,Kimberley Museum,5492
2020-02-23 16:24:02.885771544,McGregor Museum,8413
2020-02-23 16:24:02.885771544,William Humphreys Art Gallery,3775
2020-02-23 16:24:02.885771544,Magersfontein Battlefield,4723
2020-02-23 16:24:02.885771544,Ghost Tours & Historical Walks,5286
2020-02-26 14:40:09.619238480,Kimberley Museum,6877
2020-02-26 14:40:09.619238480,McGregor Museum,1796
2020-02-26 14:40:09.619238480,William Humphreys Art Gallery,5396
2020-02-26 14:40:09.619238480,Magersfontein Battlefield,4005
2020-02-26 14:40:09.619238480,Ghost Tours & Historical Walks,4229
2020-02-29 12:56:16.352705408,Kimberley Museum,2932
2020-02-29 12:56:16.352705408,McGregor Museum,4542
2020-02-29 12:56:16.352705408,William Humphreys Art Gallery,7205
2020-02-29 12:56:16.352705408,Magersfontein Battlefield,1934
2020-02-29 12:56:16.352705408,Ghost Tours & Historical Walks,5635
2020-03-03 11:12:23.086172344,Kimberley Museum,6727
2020-03-03 11:12:23.086172344,McGregor Museum,3808
2020-03-03 11:12:23.086172344,William Humphreys Art Gallery,6253
2020-03-03 11:12:23.086172344,Magersfontein Battlefield,5308
2020-03-03 11:12:23.086172344,Ghost Tours & Historical Walks,4061
2020-03-06 09:28:29.819639280,Kimberley Museum,5256
2020-03-06 09:28:29.819639280,McGregor Museum,5916
2020-03-06 09:28:29.819639280,William Humphreys Art Gallery,5250
2020-03-06 09:28:29.819639280,Magersfontein Battlefield,6710
2020-03-06 09:28:29.819639280,Ghost Tours & Historical Walks,7438
2020-03-09 07:44:36.553106216,Kimberley Museum,5929
2020-03-09 07:44:36.553106216,McGregor Museum,6091
2020-03-09 07:44:36.553106216,William Humphreys Art Gallery,3651
2020-03-09 07:44:36.553106216,Magersfontein Battlefield,4410
2020-03-09 07:44:36.553106216,Ghost Tours & Historical Walks,4886
2020-03-12 06:00:43.286573144,Kimberley Museum,5172
2020-03-12 06:00:43.286573144,McGregor Museum,5712
2020-03-12 06:00:43.286573144,William Humphreys Art Gallery,4508
2020-03-12 06:00:43.286573144,Magersfontein Battlefield,4313
2020-03-12 06:00:43.286573144,Ghost Tours & Historical Walks,5683
2020-03-15 04:16:50.020040080,Kimberley Museum,3579
2020-03-15 04:16:50.020040080,McGregor Museum,6296
2020-03-15 04:16:50.020040080,William Humphreys Art Gallery,5945
2020-03-15 04:16:50.020040080,Magersfontein Battlefield,5755
2020-03-15 04:16:50.020040080,Ghost Tours & Historical Walks,6709
2020-03-18 02:32:56.753507016,Kimberley Museum,4849
2020-03-18 02:32:56.753507016,McGregor Museum,2872
2020-03-18 02:32:56.753507016,William Humphreys Art Gallery,2912
2020-03-18 02:32:56.753507016,Magersfontein Battlefield,2339
2020-03-18 02:32:56.753507016,Ghost Tours & Historical Walks,5407
2020-03-21 00:49:03.486973952,Kimberley Museum,5980
2020-03-21 00:49:03.486973952,McGregor Museum,2959
2020-03-21 00:49:03.486973952,William Humphreys Art Gallery,5410
2020-03-21 00:49:03.486973952,Magersfontein Battlefield,6810
2020-03-21 00:49:03.486973952,Ghost Tours & Historical Walks,4283
2020-03-23 23:05:10.220440880,Kimberley Museum,4789
2020-03-23 23:05:10.220440880,McGregor Museum,3508
2020-03-23 23:05:10.220440880,William Humphreys Art Gallery,6621
2020-03-23 23:05:10.220440880,Magersfontein Battlefield,4061
2020-03-23 23:05:10.220440880,Ghost Tours & Historical Walks,3834
2020-03-26 21:21:16.953907816,Kimberley Museum,4855
2020-03-26 21:21:16.953907816,McGregor Museum,6764
2020-03-26 21:21:16.953907816,William Humphreys Art Gallery,4503
2020-03-26 21:21:16.953907816,Magersfontein Battlefield,6086
2020-03-26 21:21:16.953907816,Ghost Tours & Historical Walks,4939
2020-03-29 19:37:23.687374752,Kimberley Museum,7515
2020-03-29 19:37:23.687374752,McGregor Museum,3452
2020-03-29 19:37:23.687374752,William Humphreys Art Gallery,1960
2020-03-29 19:37:23.687374752,Magersfontein Battlefield,6736
2020-03-29 19:37:23.687374752,Ghost Tours & Historical Walks,4088
2020-04-01 17:53:30.420841688,Kimberley Museum,6054
2020-04-01 17:53:30.420841688,McGregor Museum,4190
2020-04-01 17:53:30.420841688,William Humphreys Art Gallery,5093
2020-04-01 17:53:30.420841688,Magersfontein Battlefield,6543
2020-04-01 17:53:30.420841688,Ghost Tours & Historical Walks,2295
2020-04-04 16:09:37.154308616,Kimberley Museum,7629
2020-04-04 16:09:37.154308616,McGregor Museum,2290
2020-04-04 16:09:37.154308616,William Humphreys Art Gallery,5140
2020-04-04 16:09:37.154308616,Magersfontein Battlefield,3382
2020-04-04 16:09:37.154308616,Ghost Tours & Historical Walks,5078
2020-04-07 14:25:43.887775552,Kimberley Museum,6256
2020-04-07 14:25:43.887775552,McGregor Museum,4098
2020-04-07 14:25:43.887775552,William Humphreys Art Gallery,4692
2020-04-07 14:25:43.887775552,Magersfontein Battlefield,3111
2020-04-07 14:25:43.887775552,Ghost Tours & Historical Walks,2045
2020-04-10 12:41:50.621242488,Kimberley Museum,5254
2020-04-10 12:41:50.621242488,McGregor Museum,6850
2020-04-10 12:41:50.621242488,William Humphreys Art Gallery,4843
2020-04-10 12:41:50.621242488,Magersfontein Battlefield,4809
2020-04-10 12:41:50.621242488,Ghost Tours & Historical Walks,5149
2020-04-13 10:57:57.354709424,Kimberley Museum,3647
2020-04-13 10:57:57.354709424,McGregor Museum,5409
2020-04-13 10:57:57.354709424,William Humphreys Art Gallery,4180
2020-04-13 10:57:57.354709424,Magersfontein Battlefield,4697
2020-04-13 10:57:57.354709424,Ghost Tours & Historical Walks,3689
2020-04-16 09:14:04.088176352,Kimberley Museum,9073
2020-04-16 09:14:04.088176352,McGregor Museum,5188
2020-04-16 09:14:04.088176352,William Humphreys Art Gallery,2560
2020-04-16 09:14:04.088176352,Magersfontein Battlefield,5155
2020-04-16 09:14:04.088176352,Ghost Tours & Historical Walks,3466
2020-04-19 07:30:10.821643288,Kimberley Museum,5037
2020-04-19 07:30:10.821643288,McGregor Museum,6288
2020-04-19 07:30:10.821643288,William Humphreys Art Gallery,4600
2020-04-19 07:30:10.821643288,Magersfontein Battlefield,2334
2020-04-19 07:30:10.821643288,Ghost Tours & Historical Walks,3278
2020-04-22 05:46:17.555110224,Kimberley Museum,5980
2020-04-22 05:46:17.555110224,McGregor Museum,6074
2020-04-22 05:46:17.555110224,William Humphreys Art Gallery,5776
2020-04-22 05:46:17.555110224,Magersfontein Battlefield,3345
2020-04-22 05:46:17.555110224,Ghost Tours & Historical Walks,4255
2020-04-25 04:02:24.288577152,Kimberley Museum,7249
2020-04-25 04:02:24.288577152,McGregor Museum,7344
2020-04-25 04:02:24.288577152,William Humphreys Art Gallery,4824
2020-04-25 04:02:24.288577152,Magersfontein Battlefield,5267
2020-04-25 04:02:24.288577152,Ghost Tours & Historical Walks,4014
2020-04-28 02:18:31.022044088,Kimberley Museum,3626
2020-04-28 02:18:31.022044088,McGregor Museum,4930
2020-04-28 02:18:31.022044088,William Humphreys Art Gallery,8125
2020-04-28 02:18:31.022044088,Magersfontein Battlefield,5425
2020-04-28 02:18:31.022044088,Ghost Tours & Historical Walks,6297
2020-05-01 00:34:37.755511024,Kimberley Museum,4978
2020-05-01 00:34:37.755511024,McGregor Museum,5301
2020-05-01 00:34:37.755511024,William Humphreys Art Gallery,2358
2020-05-01 00:34:37.755511024,Magersfontein Battlefield,5057
2020-05-01 00:34:37.755511024,Ghost Tours & Historical Walks,2219
2020-05-03 22:50:44.488977960,Kimberley Museum,4404
2020-05-03 22:50:44.488977960,McGregor Museum,3614
2020-05-03 22:50:44.488977960,William Humphreys Art Gallery,5725
2020-05-03 22:50:44.488977960,Magersfontein Battlefield,3391
2020-05-03 22:50:44.488977960,Ghost Tours & Historical Walks,4176
2020-05-06 21:06:51.222444888,Kimberley Museum,4406
2020-05-06 21:06:51.222444888,McGregor Museum,3465
2020-05-06 21:06:51.222444888,William Humphreys Art Gallery,5476
2020-05-06 21:06:51.222444888,Magersfontein Battlefield,4805
2020-05-06 21:06:51.222444888,Ghost Tours & Historical Walks,7787
2020-05-09 19:22:57.955911824,Kimberley Museum,3051
2020-05-09 19:22:57.955911824,McGregor Museum,2793
2020-05-09 19:22:57.955911824,William Humphreys Art Gallery,5031
2020-05-09 19:22:57.955911824,Magersfontein Battlefield,3425
2020-05-09 19:22:57.955911824,Ghost Tours & Historical Walks,7620
2020-05-12 17:39:04.689378760,Kimberley Museum,5469
2020-05-12 17:39:04.689378760,McGregor Museum,7479
2020-05-12 17:39:04.689378760,William Humphreys Art Gallery,5732
2020-05-12 17:39:04.689378760,Magersfontein Battlefield,4850
2020-05-12 17:39:04.689378760,Ghost Tours & Historical Walks,3318
2020-05-15 15:55:11.422845696,Kimberley Museum,1723
2020-05-15 15:55:11.422845696,McGregor Museum,7052
2020-05-15 15:55:11.422845696,William Humphreys Art Gallery,3872
2020-05-15 15:55:11.422845696,Magersfontein Battlefield,6091
2020-05-15 15:55:11.422845696,Ghost Tours & Historical Walks,7499
2020-05-18 14:11:18.156312624,Kimberley Museum,3404
2020-05-18 14:11:18.156312624,McGregor Museum,5550
2020-05-18 14:11:18.156312624,William Humphreys Art Gallery,4252
2020-05-18 14:11:18.156312624,Magersfontein Battlefield,3067
2020-05-18 14:11:18.156312624,Ghost Tours & Historical Walks,4973
2020-05-21 12:27:24.889779560,Kimberley Museum,6391
2020-05-21 12:27:24.889779560,McGregor Museum,4312
2020-05-21 12:27:24.889779560,William Humphreys Art Gallery,5636
2020-05-21 12:27:24.889779560,Magersfontein Battlefield,6453
2020-05-21 12:27:24.889779560,Ghost Tours & Historical Walks,5240
2020-05-24 10:43:31.623246496,Kimberley Museum,5071
2020-05-24 10:43:31.623246496,McGregor Museum,2969
2020-05-24 10:43:31.623246496,William Humphreys Art Gallery,2461
2020-05-24 10:43:31.623246496,Magersfontein Battlefield,3827
2020-05-24 10:43:31.623246496,Ghost Tours & Historical Walks,3139
2020-05-27 08:59:38.356713432,Kimberley Museum,6540
2020-05-27 08:59:38.356713432,McGregor Museum,1321
2020-05-27 08:59:38.356713432,William Humphreys Art Gallery,4487
2020-05-27 08:59:38.356713432,Magersfontein Battlefield,4627
2020-05-27 08:59:38.356713432,Ghost Tours & Historical Walks,2366
2020-05-30 07:15:45.090180360,Kimberley Museum,3270
2020-05-30 07:15:45.090180360,McGregor Museum,5128
2020-05-30 07:15:45.090180360,William Humphreys Art Gallery,4424
2020-05-30 07:15:45.090180360,Magersfontein Battlefield,6194
2020-05-30 07:15:45.090180360,Ghost Tours & Historical Walks,3182
2020-06-02 05:31:51.823647296,Kimberley Museum,3891
2020-06-02 05:31:51.823647296,McGregor Museum,3000
2020-06-02 05:31:51.823647296,William Humphreys Art Gallery,7117
2020-06-02 05:31:51.823647296,Magersfontein Battlefield,6712
